carat,depth,table,x,y,z,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
1.11,61.3,60.0,6.68,6.66,4.09,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.04,61.8,60.0,6.51,6.47,4.01,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.3,61.3,61.0,4.27,4.25,2.61,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2.08,60.1,59.0,8.29,8.37,5.01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,64.7,56.0,6.23,6.29,4.05,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.58,60.0,53.0,7.59,7.64,4.57,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.7,63.2,61.0,5.62,5.59,3.54,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.66,61.5,57.0,7.59,7.62,4.68,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2.03,61.3,59.0,8.11,8.08,4.96,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.51,58.8,58.0,7.53,7.61,4.45,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9,62.0,57.0,6.22,6.19,3.85,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.54,61.0,58.0,5.27,5.23,3.2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.91,62.2,58.0,6.21,6.17,3.85,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.5,60.3,60.0,5.1,5.08,3.07,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.3,62.9,57.0,4.27,4.25,2.68,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.34,61.7,61.0,4.47,4.51,2.77,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2.15,63.4,56.0,8.2,8.15,5.18,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.23,62.2,55.0,6.85,6.81,4.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.04,59.6,59.0,6.56,6.59,3.92,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.51,62.2,56.0,5.1,5.13,3.18,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.4,62.9,55.0,4.71,4.74,2.97,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.52,59.8,59.0,5.21,5.25,3.13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.7,61.7,61.0,5.67,5.7,3.51,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.42,60.9,59.0,4.85,4.8,2.94,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.32,61.9,54.0,4.41,4.44,2.74,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.2,63.8,60.0,6.6,6.65,4.23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.51,60.6,60.0,7.42,7.4,4.49,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.32,61.5,55.0,4.43,4.38,2.71,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.43,61.2,58.0,4.88,4.83,2.97,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.6,62.1,55.0,5.42,5.46,3.38,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.01,62.2,56.0,6.42,6.45,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.31,61.8,56.0,4.39,4.35,2.7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.7,63.7,60.0,5.57,5.61,3.56,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.78,60.4,57.0,6.02,5.97,3.62,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.54,62.2,55.0,5.24,5.21,3.25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.5,62.9,58.0,7.21,7.31,4.57,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.8,58.2,63.0,6.07,6.03,3.52,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.7,64.2,58.0,5.58,5.61,3.59,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.75,62.5,57.0,5.78,5.83,3.63,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.5,61.3,58.0,7.36,7.31,4.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.43,63.7,57.0,4.79,4.76,3.04,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.35,61.4,59.0,4.53,4.56,2.79,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.74,61.6,54.0,5.82,5.9,3.61,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.32,61.6,55.0,4.42,4.44,2.73,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.33,60.6,57.0,4.49,4.52,2.73,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.32,61.3,56.0,4.44,4.4,2.71,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.51,61.4,60.0,7.37,7.33,4.51,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.41,61.2,57.0,4.78,4.76,2.92,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.7,62.1,60.0,5.65,5.62,3.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.77,61.4,56.0,5.9,5.93,3.63,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.3,62.2,54.0,4.29,4.33,2.68,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.01,63.2,58.0,6.43,6.3,4.02,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.43,63.4,57.0,4.76,4.8,3.03,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.12,62.5,57.0,6.63,6.59,4.13,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.32,63.0,57.0,4.37,4.33,2.74,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.5,60.1,57.0,5.14,5.27,3.13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.5,58.0,63.0,5.22,5.19,3.02,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.76,61.2,57.0,5.85,5.9,3.59,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.03,63.6,57.0,6.38,6.29,4.03,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.29,61.5,57.0,4.24,4.27,2.62,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.0,62.1,58.0,6.44,6.45,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.43,61.8,56.0,4.86,4.88,3.01,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.32,61.9,59.0,4.38,4.35,2.7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1.11,62.9,55.0,6.56,6.62,4.14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.7,61.2,56.0,5.71,5.75,3.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.34,62.2,55.0,4.5,4.47,2.79,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.84,61.7,56.0,6.03,6.07,3.74,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.42,62.1,59.0,4.82,4.78,2.98,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.3,62.1,59.0,4.31,4.29,2.67,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.02,62.0,59.0,6.39,6.45,3.98,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.3,61.3,56.0,4.32,4.36,2.66,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.35,61.9,58.0,4.54,4.48,2.79,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.5,63.1,57.0,7.31,7.24,4.59,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.2,62.3,60.0,6.74,6.8,4.22,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.94,60.1,59.0,6.35,6.32,3.81,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.16,62.6,58.0,6.72,6.66,4.19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.85,60.1,56.0,6.17,6.18,3.71,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.32,62.0,54.0,4.39,4.42,2.73,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.34,60.8,59.0,4.56,4.46,2.74,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.57,61.0,57.0,5.33,5.35,3.26,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.3,61.1,58.0,6.98,7.02,4.28,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2.01,60.5,60.0,8.17,8.15,4.94,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.32,59.7,62.0,4.38,4.43,2.63,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.54,62.0,56.0,5.21,5.24,3.24,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.31,62.7,58.0,4.32,4.35,2.72,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.24,61.8,55.0,6.85,6.89,4.25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.73,59.2,58.0,5.9,5.85,3.47,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.31,60.5,60.0,4.4,4.33,2.64,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.93,61.9,56.0,6.24,6.27,3.87,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.52,61.5,58.0,5.18,5.24,3.2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3,62.9,60.0,4.26,4.29,2.69,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.72,61.4,59.0,5.71,5.79,3.53,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.03,61.6,59.0,6.46,6.49,3.99,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.14,62.2,58.0,6.7,6.67,4.16,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.54,61.0,54.0,5.28,5.3,3.23,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.3,62.2,57.0,4.26,4.29,2.66,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.39,62.6,57.0,7.1,7.15,4.46,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1.01,62.5,58.0,6.32,6.36,3.96,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.06,62.8,56.0,6.47,6.52,4.08,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.01,62.7,59.0,6.35,6.4,4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.3,62.6,54.0,4.28,4.31,2.69,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.72,61.0,57.0,5.77,5.8,3.53,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.25,59.8,59.0,4.07,4.09,2.44,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.42,63.6,57.0,4.79,4.74,3.03,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.51,62.6,60.0,7.19,7.28,4.53,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.7,59.6,61.0,5.8,5.77,3.45,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.51,60.1,56.0,5.16,5.35,3.16,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.71,62.1,56.0,5.72,5.84,3.59,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.51,61.3,56.0,5.17,5.14,3.16,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.41,64.7,58.0,7.05,7.0,4.55,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.6,61.9,58.0,5.39,5.43,3.35,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.25,61.1,57.0,6.91,6.94,4.23,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.38,60.2,58.0,4.71,4.66,2.82,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.33,63.4,55.0,4.4,4.37,2.78,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.01,63.3,58.0,6.35,6.38,4.03,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2.01,62.8,58.0,8.01,7.94,5.01,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.53,62.5,55.0,5.14,5.19,3.23,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.41,62.3,56.0,4.74,4.77,2.96,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.51,60.1,56.0,5.22,5.19,3.13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.3,61.8,55.0,4.36,4.32,2.68,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.01,63.9,58.0,6.39,6.32,4.06,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.71,61.5,57.0,5.7,5.75,3.52,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.61,62.9,58.0,5.33,5.39,3.37,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.71,58.2,60.0,5.91,5.88,3.43,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.7,59.7,56.9,5.73,5.86,3.46,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.32,63.1,56.0,4.37,4.34,2.75,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.51,62.6,53.0,7.4,7.32,4.61,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.32,61.2,56.0,4.43,4.46,2.72,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.33,61.9,55.0,4.45,4.5,2.77,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.98,57.9,56.0,6.51,6.47,3.76,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.25,57.5,61.0,4.16,4.19,2.4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.72,61.8,56.0,5.72,5.77,3.56,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.32,61.9,55.0,4.37,4.39,2.71,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.51,61.0,56.0,5.2,5.16,3.16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.33,61.3,56.0,4.46,4.44,2.73,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.01,63.9,58.0,6.31,6.37,4.05,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.77,64.3,57.9,5.7,5.86,3.71,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.31,63.1,55.0,4.33,4.36,2.74,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9,60.6,57.0,6.28,6.2,3.78,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.55,61.0,56.0,5.34,5.32,3.25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.12,62.8,54.0,6.7,6.64,4.19,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.01,62.9,58.0,6.39,6.36,4.01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,59.3,63.0,6.44,6.48,3.83,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.06,62.1,58.0,6.5,6.52,4.04,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.4,62.3,55.0,4.74,4.76,2.96,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.24,61.7,56.0,3.98,4.02,2.46,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.31,62.5,60.0,4.36,4.31,2.71,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.56,62.1,55.6,5.29,5.31,3.29,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.5,65.3,56.0,4.91,5.01,3.24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.11,62.0,56.0,6.61,6.65,4.11,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.32,61.7,56.0,4.37,4.42,2.71,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.62,59.9,65.0,5.58,5.5,3.32,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.51,59.2,58.0,5.27,5.23,3.11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.32,62.5,57.0,7.0,7.04,4.39,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.52,61.5,56.0,5.19,5.21,3.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.37,59.3,58.0,4.73,4.75,2.81,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.03,62.9,56.0,6.49,6.39,4.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.25,63.0,59.0,3.97,4.0,2.51,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.31,63.1,58.0,4.27,4.32,2.71,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.3,62.2,57.0,4.26,4.29,2.66,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.0,64.9,52.0,6.24,6.33,4.08,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.71,62.3,57.0,5.7,5.76,3.57,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.9,62.5,58.0,6.1,6.15,3.83,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2.21,61.9,55.0,8.4,8.36,5.19,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.5,63.3,57.0,7.28,7.25,4.6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.91,62.1,57.0,6.2,6.23,3.86,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.23,62.5,58.0,3.92,3.95,2.46,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.53,61.5,56.0,5.17,5.23,3.2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,60.9,59.0,6.38,6.43,3.9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.01,60.4,60.0,6.47,6.44,3.9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.33,62.1,54.0,4.42,4.47,2.76,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.31,63.7,58.0,4.27,4.3,2.73,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.46,62.5,57.0,7.15,7.19,4.48,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.07,62.2,59.0,6.47,6.53,4.04,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.42,62.1,54.0,4.81,4.84,2.99,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.72,62.7,58.0,5.65,5.68,3.55,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.3,61.3,58.0,4.3,4.32,2.64,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.31,59.6,58.0,4.44,4.39,2.63,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.32,62.4,58.0,6.97,7.01,4.36,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1.1,63.1,57.0,6.6,6.52,4.14,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.53,60.9,63.0,7.37,7.41,4.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.0,60.1,62.0,6.5,6.47,3.9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.4,63.9,58.0,4.67,4.63,2.97,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
