carat,cut,color,clarity,depth,table,x,y,z,price,cut_encoded,color_encoded,clarity_encoded
0.3,Ideal,G,IF,62.0,55.0,4.33,4.35,2.69,6.76,4,3,7
1.0,Fair,F,VS1,65.3,56.0,6.28,6.25,4.09,8.671,0,4,4
0.51,Ideal,F,VVS1,61.4,56.0,5.15,5.17,3.17,7.911,4,4,6
1.2,Premium,G,VS2,58.2,59.0,7.04,6.95,4.07,8.961,1,3,3
0.41,Ideal,G,IF,62.3,55.0,4.78,4.75,2.97,7.266,4,3,7
0.42,Ideal,E,VS1,61.6,57.0,4.84,4.8,2.97,7.074,4,6,4
1.12,Premium,H,SI2,61.9,58.0,6.74,6.66,4.15,8.456,1,2,0
1.22,Premium,I,SI1,62.1,59.0,6.86,6.8,4.24,8.606,1,1,2
0.5,Very Good,H,SI1,60.9,61.0,5.06,5.15,3.11,7.033,3,2,2
0.31,Premium,G,SI1,62.4,55.0,4.34,4.31,2.7,6.385,1,3,2
0.56,Ideal,D,VS2,61.5,57.0,5.33,5.28,3.26,7.633,4,5,3
0.32,Ideal,H,SI2,61.9,54.0,4.42,4.46,2.75,6.04,4,2,0
0.72,Ideal,J,SI1,61.7,56.0,5.77,5.81,3.57,7.525,4,0,2
1.08,Very Good,H,SI1,63.4,57.0,6.54,6.51,4.14,8.573,3,2,2
0.31,Good,D,SI1,63.1,57.0,4.3,4.32,2.72,6.347,2,5,2
0.33,Ideal,G,IF,61.9,55.0,4.44,4.45,2.75,6.852,4,3,7
0.7,Ideal,E,SI2,62.0,56.0,5.71,5.74,3.55,7.631,4,6,0
2.53,Premium,H,SI2,61.1,57.0,8.82,8.76,5.37,9.626,1,2,0
1.0,Good,H,SI1,64.9,56.0,6.24,6.31,4.07,8.361,2,2,2
0.37,Ideal,D,VS2,61.3,56.0,4.64,4.6,2.83,7.025,4,5,3
0.3,Ideal,E,VVS1,61.4,56.0,4.33,4.37,2.67,6.797,4,6,6
1.7,Very Good,J,SI1,61.9,59.0,7.59,7.64,4.71,9.09,3,0,2
0.32,Ideal,I,VS2,63.0,55.0,4.39,4.34,2.75,6.356,4,1,3
0.54,Premium,E,VS1,62.7,60.0,5.14,5.1,3.21,7.866,1,6,4
0.34,Ideal,G,VS1,60.6,57.0,4.52,4.57,2.75,6.579,4,3,4
1.22,Ideal,H,SI1,61.9,55.0,6.82,6.87,4.24,8.971,4,2,2
0.7,Very Good,D,VS1,61.2,56.0,5.68,5.75,3.5,8.179,3,5,4
1.22,Premium,F,SI1,61.8,59.0,6.86,6.83,4.23,8.837,1,4,2
1.61,Premium,D,SI1,59.0,60.0,7.68,7.6,4.51,9.412,1,5,2
0.71,Very Good,E,VS2,62.5,58.0,5.69,5.73,3.57,8.115,3,6,3
0.32,Very Good,I,SI1,62.4,58.0,4.42,4.46,2.77,5.961,3,1,2
0.54,Ideal,E,SI1,61.5,55.0,5.24,5.26,3.23,7.483,4,6,2
1.0,Ideal,I,SI2,62.5,56.0,6.38,6.35,3.98,8.094,4,1,0
0.3,Premium,G,VS1,61.8,60.0,4.32,4.29,2.66,6.654,1,3,4
1.0,Very Good,F,SI2,63.4,55.0,6.3,6.38,4.02,8.302,3,4,0
0.38,Ideal,E,IF,62.7,55.0,4.61,4.67,2.91,7.268,4,6,7
0.42,Ideal,E,VS2,62.1,56.0,4.8,4.77,2.97,6.931,4,6,3
0.74,Ideal,E,SI1,61.7,56.0,5.84,5.8,3.59,7.93,4,6,2
0.7,Ideal,F,SI1,61.9,57.0,5.66,5.75,3.53,7.71,4,4,2
0.61,Good,D,SI2,59.8,62.0,5.48,5.53,3.29,7.261,2,5,0
1.21,Ideal,F,I1,62.0,56.0,6.84,6.8,4.23,8.384,4,4,1
1.28,Ideal,G,SI1,62.2,56.0,6.96,6.9,4.31,8.936,4,3,2
1.26,Very Good,G,SI1,63.3,58.0,6.88,6.84,4.34,8.976,3,3,2
0.4,Premium,D,VS1,62.5,60.0,4.72,4.66,2.93,7.09,1,5,4
0.3,Premium,H,VVS1,62.7,59.0,4.29,4.32,2.7,6.528,1,2,6
0.3,Ideal,I,VVS1,61.3,57.0,4.34,4.31,2.65,6.564,4,1,6
0.81,Ideal,E,SI2,62.1,55.0,5.94,5.98,3.7,8.039,4,6,0
0.32,Ideal,E,VS2,62.7,55.0,4.36,4.38,2.74,6.554,4,6,3
0.51,Ideal,G,VS1,62.4,57.0,5.1,5.13,3.19,7.432,4,3,4
0.76,Ideal,D,VS1,61.7,56.0,5.84,5.87,3.61,8.384,4,5,4
0.44,Premium,G,SI1,61.0,60.0,4.93,4.88,2.99,6.898,1,3,2
0.72,Ideal,D,VS1,61.4,56.0,5.8,5.82,3.57,8.195,4,5,4
1.03,Ideal,D,SI2,62.8,56.0,6.46,6.43,4.05,8.469,4,5,0
0.6,Premium,G,SI1,61.8,60.0,5.38,5.37,3.32,7.406,1,3,2
0.7,Very Good,G,SI1,63.0,59.0,5.64,5.67,3.56,7.73,3,3,2
1.1,Very Good,G,VVS1,61.4,60.0,6.59,6.67,4.07,9.133,3,3,6
0.3,Ideal,F,VS1,61.3,55.0,4.36,4.32,2.66,6.594,4,4,4
0.78,Good,G,SI1,63.9,64.0,5.82,5.7,3.68,7.777,2,3,2
1.13,Premium,G,VVS1,59.3,59.0,6.87,6.79,4.05,9.09,1,3,6
0.56,Ideal,D,SI1,62.3,57.0,5.24,5.26,3.27,7.364,4,5,2
0.77,Premium,I,VS1,62.6,55.0,5.9,5.85,3.68,7.834,1,1,4
0.51,Premium,I,VS2,62.9,55.0,5.12,5.08,3.21,7.072,1,1,3
2.09,Good,J,VS2,57.2,64.0,8.51,8.46,4.85,9.357,2,0,3
0.36,Ideal,G,VVS1,62.8,57.0,4.55,4.52,2.85,6.959,4,3,6
1.26,Ideal,E,VVS2,61.1,57.0,7.0,6.98,4.27,9.568,4,6,5
0.33,Premium,H,IF,61.7,59.0,4.45,4.43,2.74,6.918,1,2,7
0.51,Very Good,I,SI1,63.5,55.0,5.07,5.11,3.23,6.974,3,1,2
0.31,Premium,F,VS2,62.9,59.0,4.32,4.27,2.7,6.687,1,4,3
0.71,Very Good,H,SI1,60.7,60.0,5.73,5.76,3.49,7.726,3,2,2
0.35,Premium,E,SI1,61.1,59.0,4.56,4.5,2.77,6.669,1,6,2
0.31,Ideal,G,VVS1,61.4,57.0,4.37,4.39,2.68,6.649,4,3,6
0.3,Premium,I,VS1,61.6,60.0,4.3,4.27,2.64,6.41,1,1,4
0.54,Ideal,D,VS2,61.8,56.0,5.25,5.23,3.24,7.621,4,5,3
0.38,Ideal,I,VS2,61.4,55.0,4.66,4.69,2.87,6.515,4,1,3
1.08,Very Good,F,VVS1,61.0,58.0,6.64,6.61,4.04,9.231,3,4,6
1.28,Ideal,H,VVS1,61.7,55.0,6.97,7.01,4.31,9.078,4,2,6
1.08,Ideal,G,SI1,61.8,56.0,6.58,6.55,4.06,8.585,4,3,2
1.5,Premium,J,VS1,62.8,59.0,7.29,7.19,4.55,9.131,1,0,4
0.39,Very Good,D,VVS2,61.4,59.0,4.69,4.73,2.89,6.962,3,5,5
1.01,Very Good,H,SI1,62.6,58.0,6.34,6.44,4.0,8.382,3,2,2
0.9,Premium,D,SI1,62.2,58.0,6.18,6.11,3.82,8.436,1,5,2
1.84,Premium,H,SI1,59.7,58.0,8.01,7.98,4.77,9.54,1,2,2
0.79,Premium,J,SI1,59.1,57.0,6.08,6.06,3.59,7.696,1,0,2
1.61,Good,E,SI2,60.9,62.0,7.46,7.57,4.58,9.287,2,6,0
1.12,Premium,G,IF,60.9,57.0,6.79,6.68,4.1,9.119,1,3,7
0.31,Ideal,F,VVS2,61.2,56.0,4.4,4.43,2.7,6.574,4,4,5
0.31,Ideal,G,VS1,61.0,56.0,4.35,4.4,2.67,6.465,4,3,4
1.22,Premium,I,VS2,62.9,58.0,6.8,6.75,4.26,8.639,1,1,3
0.7,Good,F,VS2,62.9,61.0,5.6,5.63,3.53,7.86,2,4,3
1.07,Premium,F,SI2,61.8,59.0,6.57,6.53,4.05,8.443,1,4,0
0.33,Ideal,G,VS1,61.5,56.0,4.45,4.48,2.74,6.55,4,3,4
0.4,Premium,D,VVS2,60.7,60.0,4.78,4.74,2.89,7.188,1,5,5
0.5,Good,F,VS2,63.3,57.0,5.01,5.07,3.19,7.27,2,4,3
0.5,Good,D,SI2,58.5,64.0,5.2,5.12,3.02,6.865,2,5,0
0.56,Ideal,F,SI2,61.4,57.0,5.3,5.33,3.26,7.154,4,4,0
0.41,Ideal,D,VS2,59.7,57.0,4.87,4.84,2.9,7.071,4,5,3
1.03,Premium,I,SI1,58.4,60.0,6.6,6.58,3.85,8.098,1,1,2
0.54,Ideal,E,VS1,62.6,55.0,5.22,5.2,3.26,7.508,4,6,4
0.3,Ideal,F,VS2,61.1,56.0,4.33,4.31,2.64,6.654,4,4,3
0.9,Premium,G,SI1,62.9,58.0,6.11,6.02,3.82,8.236,1,3,2
0.61,Ideal,I,SI2,61.1,57.0,5.46,5.49,3.34,7.245,4,1,0
1.26,Very Good,H,SI2,62.2,57.0,6.86,6.9,4.28,8.655,3,2,0
1.22,Premium,H,VS1,58.9,59.0,7.02,6.96,4.12,8.893,1,2,4
0.4,Premium,E,VS2,59.3,59.0,4.77,4.81,2.84,6.816,1,6,3
0.34,Ideal,E,SI2,61.3,55.0,4.49,4.52,2.76,6.118,4,6,0
1.0,Premium,H,VS2,60.4,58.0,6.51,6.46,3.92,8.514,1,2,3
1.58,Ideal,E,SI1,61.0,57.0,7.55,7.5,4.59,9.515,4,6,2
2.01,Ideal,I,SI1,59.9,60.0,8.27,8.2,4.93,9.748,4,1,2
0.32,Ideal,D,VS2,61.0,56.0,4.42,4.46,2.71,6.631,4,5,3
2.0,Very Good,J,VS2,60.8,62.0,8.09,8.12,4.93,9.476,3,0,3
1.27,Ideal,E,VS1,61.8,57.0,6.94,6.98,4.3,9.379,4,6,4
1.5,Very Good,F,SI1,63.4,58.0,7.2,7.16,4.55,9.302,3,4,2
0.5,Ideal,F,SI2,60.9,57.0,5.16,5.13,3.13,7.093,4,4,0
1.51,Ideal,I,SI1,61.1,59.0,7.4,7.37,4.51,9.029,4,1,2
0.62,Premium,G,VS2,62.2,55.0,5.51,5.46,3.41,7.508,1,3,3
1.68,Premium,J,SI2,59.2,57.0,7.83,7.72,4.6,8.943,1,0,0
0.52,Ideal,G,VS1,61.6,54.0,5.21,5.24,3.22,7.451,4,3,4
1.01,Very Good,E,SI1,63.4,59.0,6.38,6.34,4.03,8.518,3,6,2
1.28,Ideal,G,SI2,61.4,57.0,6.96,6.99,4.28,8.681,4,3,0
0.5,Ideal,H,VS2,61.7,55.0,5.11,5.14,3.16,7.394,4,2,3
0.66,Very Good,G,VVS2,60.5,59.0,5.67,5.72,3.44,7.701,3,3,5
1.01,Very Good,F,VS2,62.7,56.0,6.37,6.43,4.01,8.726,3,4,3
0.31,Ideal,G,VS2,62.0,57.0,4.34,4.37,2.7,6.299,4,3,3
0.31,Ideal,F,IF,60.2,57.0,4.38,4.44,2.65,7.052,4,4,7
0.58,Ideal,F,VVS1,61.6,57.0,5.33,5.38,3.3,7.911,4,4,6
0.4,Very Good,F,SI1,63.1,58.0,4.69,4.66,2.95,6.782,3,4,2
0.9,Ideal,G,VS1,62.1,56.0,6.15,6.19,3.83,8.62,4,3,4
1.5,Premium,F,SI1,62.1,60.0,7.32,7.27,4.53,9.079,1,4,2
1.17,Premium,D,VS1,61.7,59.0,6.72,6.77,4.16,9.204,1,5,4
1.5,Very Good,D,VS1,61.2,63.0,7.28,7.32,4.47,9.705,3,5,4
0.9,Very Good,E,SI1,61.8,60.0,6.14,6.2,3.81,8.307,3,6,2
0.72,Good,F,VVS2,61.3,65.0,5.76,5.72,3.52,8.054,2,4,5
0.71,Ideal,D,VS2,60.4,57.0,5.77,5.82,3.5,8.05,4,5,3
1.56,Ideal,J,VS2,62.4,57.0,7.39,7.46,4.63,8.963,4,0,3
0.71,Very Good,G,VS2,63.1,54.0,5.64,5.7,3.58,7.853,3,3,3
0.52,Very Good,G,VVS1,61.1,58.0,5.19,5.22,3.18,7.656,3,3,6
0.71,Very Good,J,VS1,64.1,58.0,5.61,5.65,3.61,7.597,3,0,4
1.11,Ideal,I,SI1,61.9,57.0,6.62,6.67,4.11,8.457,4,1,2
1.27,Premium,I,SI1,62.3,56.0,6.93,6.85,4.29,8.646,1,1,2
0.24,Very Good,D,SI1,63.1,55.0,3.95,4.01,2.51,6.163,3,5,2
1.05,Very Good,H,SI2,63.0,59.0,6.44,6.48,4.07,8.333,3,2,0
1.01,Premium,G,SI2,62.5,60.0,6.34,6.39,3.98,8.354,1,3,0
0.7,Premium,D,SI2,61.8,55.0,5.71,5.68,3.52,7.706,1,5,0
0.42,Premium,E,VS2,60.9,59.0,4.81,4.85,2.94,6.865,1,6,3
0.34,Ideal,H,VVS1,61.1,56.0,4.51,4.56,2.77,6.621,4,2,6
1.11,Ideal,E,SI2,61.2,55.0,6.72,6.68,4.1,8.586,4,6,0
1.65,Very Good,J,SI1,61.5,58.0,7.49,7.62,4.65,8.98,3,0,2
0.81,Very Good,H,VS1,63.6,57.0,5.87,5.9,3.74,8.04,3,2,4
0.81,Ideal,G,VVS2,61.7,55.1,5.97,6.04,3.71,8.325,4,3,5
1.47,Fair,H,I1,66.7,59.0,6.98,6.94,4.64,8.497,0,2,1
2.08,Premium,I,SI2,61.2,58.0,8.24,8.16,5.02,9.637,1,1,0
1.55,Ideal,I,VS2,62.6,56.0,7.41,7.35,4.62,9.131,4,1,3
0.32,Ideal,E,VVS2,61.3,54.0,4.42,4.45,2.72,6.658,4,6,5
0.55,Ideal,E,VS2,62.0,55.0,5.28,5.24,3.26,7.447,4,6,3
0.3,Premium,I,SI1,61.6,62.0,4.3,4.27,2.64,6.227,1,1,2
1.56,Very Good,J,SI1,59.6,58.0,7.55,7.59,4.51,8.912,3,0,2
0.7,Good,E,VS1,61.0,61.0,5.69,5.72,3.48,7.99,2,6,4
0.3,Very Good,E,VS2,61.5,58.0,4.28,4.31,2.64,6.461,3,6,3
0.33,Premium,G,VS2,60.0,58.0,4.49,4.47,2.69,6.611,1,3,3
0.72,Premium,E,SI2,61.7,58.0,5.79,5.74,3.56,7.662,1,6,0
0.7,Premium,G,VS1,59.3,62.0,5.8,5.74,3.42,7.822,1,3,4
1.04,Very Good,D,VS1,62.3,59.0,6.39,6.48,4.01,9.011,3,5,4
0.34,Good,H,VS2,63.2,55.0,4.46,4.5,2.83,6.286,2,2,3
1.02,Premium,H,SI1,62.0,60.0,6.37,6.4,3.96,8.476,1,2,2
0.31,Good,E,SI1,63.4,57.0,4.31,4.33,2.74,6.299,2,6,2
1.12,Ideal,E,SI1,61.6,55.0,6.69,6.66,4.11,8.773,4,6,2
1.0,Very Good,H,SI1,61.9,58.0,6.3,6.37,3.92,8.508,3,2,2
0.33,Ideal,G,VS1,62.1,56.0,4.4,4.42,2.74,6.501,4,3,4
0.55,Premium,G,SI1,62.1,56.0,5.28,5.22,3.26,7.186,1,3,2
1.2,Premium,H,VS1,61.3,58.0,6.85,6.81,4.19,8.799,1,2,4
1.51,Premium,G,SI1,61.6,59.0,7.32,7.3,4.5,9.282,1,3,2
0.54,Very Good,E,VS2,61.2,58.0,5.21,5.28,3.21,7.442,3,6,3
0.32,Premium,I,VS1,61.3,58.0,4.39,4.35,2.68,6.474,1,1,4
0.33,Premium,G,VS1,61.4,59.0,4.49,4.43,2.74,6.75,1,3,4
0.54,Ideal,G,VVS2,62.1,56.0,5.19,5.22,3.23,7.593,4,3,5
0.3,Ideal,E,IF,61.7,55.0,4.31,4.34,2.67,6.849,4,6,7
0.31,Premium,J,SI1,60.9,60.0,4.38,4.36,2.66,6.142,1,0,2
0.41,Good,F,VS1,58.0,61.0,4.86,4.9,2.83,6.792,2,4,4
0.72,Ideal,H,SI1,62.2,58.0,5.72,5.76,3.57,7.807,4,2,2
0.43,Ideal,H,VVS1,61.5,56.0,4.86,4.89,3.0,7.169,4,2,6
0.9,Very Good,F,SI1,61.1,56.0,6.23,6.3,3.83,8.267,3,4,2
0.3,Fair,E,VVS2,66.6,54.0,4.14,4.18,2.77,6.373,0,6,5
1.01,Premium,G,VS2,62.4,58.0,6.41,6.38,3.99,8.717,1,3,3
1.5,Premium,G,SI2,62.1,60.0,7.34,7.28,4.54,8.868,1,3,0
0.56,Premium,E,VS2,61.1,57.0,5.38,5.33,3.27,7.53,1,6,3
0.33,Ideal,D,SI1,62.4,54.0,4.41,4.44,2.76,6.41,4,5,2
0.5,Very Good,D,VS1,63.1,57.0,5.04,5.0,3.17,7.447,3,5,4
1.2,Premium,G,VS1,62.9,59.0,6.75,6.69,4.23,8.695,1,3,4
0.7,Very Good,I,SI1,62.2,55.0,5.62,5.67,3.51,7.672,3,1,2
0.38,Ideal,F,VS1,62.4,54.0,4.68,4.64,2.91,6.906,4,4,4
0.43,Ideal,D,SI1,61.5,56.0,4.87,4.82,2.98,6.97,4,5,2
0.42,Ideal,D,VVS2,62.1,55.0,4.79,4.81,2.98,7.19,4,5,5
0.31,Ideal,E,VS2,61.8,56.0,4.36,4.34,2.69,6.771,4,6,3
1.04,Very Good,F,SI2,62.3,58.0,6.44,6.5,4.03,8.338,3,4,0
1.26,Ideal,E,SI1,61.5,59.0,6.92,6.96,4.27,9.056,4,6,2
0.3,Ideal,D,SI1,62.2,55.0,4.29,4.33,2.68,6.314,4,5,2
1.56,Premium,E,VS2,61.5,58.0,7.47,7.43,4.58,9.406,1,6,3
0.43,Premium,F,VS2,61.0,57.0,4.87,4.84,2.96,6.875,1,4,3
0.5,Good,F,SI1,59.6,61.0,5.12,5.19,3.07,7.102,2,4,2
0.27,Very Good,G,VVS1,62.9,55.0,4.13,4.15,2.6,6.339,3,3,6
0.78,Very Good,D,VS2,62.2,56.0,5.85,5.91,3.66,8.207,3,5,3
0.53,Good,E,VS1,63.2,56.0,5.14,5.18,3.26,7.482,2,6,4
1.06,Ideal,G,SI2,62.1,58.0,6.49,6.53,4.04,8.515,4,3,0
0.4,Very Good,F,VS1,63.1,59.0,4.68,4.64,2.94,6.844,3,4,4
0.59,Ideal,G,SI1,63.4,56.0,5.36,5.29,3.38,7.227,4,3,2
1.08,Very Good,E,SI2,63.5,56.0,6.53,6.48,4.13,8.223,3,6,0
1.21,Ideal,H,VS2,62.8,55.0,6.79,6.74,4.25,8.68,4,2,3
0.4,Premium,D,SI1,61.7,58.0,4.74,4.7,2.91,6.898,1,5,2
0.41,Ideal,D,SI2,62.6,57.0,4.77,4.72,2.97,6.735,4,5,0
0.32,Ideal,D,SI1,62.7,54.0,4.4,4.37,2.75,6.628,4,5,2
0.58,Premium,E,SI1,58.5,55.0,5.52,5.39,3.19,7.249,1,6,2
1.1,Very Good,J,SI2,61.8,58.0,6.6,6.63,4.09,8.362,3,0,0
0.71,Good,F,VS1,58.0,61.0,5.83,5.85,3.39,7.847,2,4,4
0.33,Very Good,F,VS1,59.1,60.0,4.48,4.52,2.66,6.649,3,4,4
0.25,Premium,E,VS1,61.5,60.0,4.02,4.04,2.48,6.075,1,6,4
0.25,Ideal,E,VS2,62.1,57.0,4.02,4.06,2.5,6.282,4,6,3
1.0,Premium,D,SI1,62.5,59.0,6.38,6.32,3.97,8.679,1,5,2
0.7,Very Good,F,VS1,62.8,59.0,5.65,5.69,3.56,8.024,3,4,4
0.32,Ideal,G,VS2,61.4,56.0,4.39,4.37,2.69,6.579,4,3,3
0.51,Ideal,E,VS1,62.7,56.0,5.14,5.1,3.21,7.472,4,6,4
1.51,Ideal,H,VS2,62.2,57.0,7.33,7.29,4.55,9.354,4,2,3
2.03,Very Good,G,SI1,61.3,59.0,8.08,8.11,4.96,9.812,3,3,2
1.02,Ideal,I,SI1,62.0,56.0,6.44,6.46,4.0,8.463,4,1,2
1.04,Very Good,G,SI1,61.8,59.0,6.49,6.55,4.03,8.531,3,3,2
0.37,Ideal,F,VVS1,61.5,56.0,4.59,4.61,2.83,6.836,4,4,6
0.43,Ideal,G,VS1,61.9,55.0,4.84,4.86,3.0,6.849,4,3,4
0.3,Ideal,G,VVS2,61.8,57.0,4.31,4.33,2.67,6.745,4,3,5
0.5,Good,J,SI1,59.6,60.0,5.15,5.18,3.08,6.866,2,0,2
1.56,Premium,G,SI2,61.7,59.0,7.51,7.43,4.61,9.089,1,3,0
0.71,Very Good,E,VS1,62.1,57.0,5.67,5.69,3.53,8.009,3,6,4
1.25,Ideal,H,SI2,61.6,54.0,6.94,6.88,4.25,8.497,4,2,0
0.38,Ideal,H,SI2,61.3,54.0,4.68,4.7,2.87,6.234,4,2,0
0.94,Premium,F,SI2,62.2,59.0,6.27,6.23,3.89,8.35,1,4,0
0.35,Ideal,F,VS2,61.4,55.0,4.55,4.6,2.81,6.56,4,4,3
0.3,Very Good,H,SI1,58.7,63.0,4.37,4.32,2.55,6.223,3,2,2
0.41,Ideal,F,VS2,61.8,57.0,4.75,4.79,2.95,6.76,4,4,3
0.31,Ideal,G,VVS1,62.0,55.0,4.34,4.37,2.7,6.671,4,3,6
0.32,Premium,F,IF,59.3,58.0,4.47,4.44,2.62,6.985,1,4,7
0.36,Premium,H,VS2,60.9,59.0,4.62,4.58,2.8,6.592,1,2,3
1.54,Good,H,VS1,63.1,57.0,7.34,7.4,4.65,9.284,2,2,4
0.41,Premium,E,SI2,62.1,58.0,4.73,4.77,2.95,6.526,1,6,0
2.01,Ideal,G,SI2,60.9,55.0,8.16,8.19,4.98,9.776,4,3,0
0.66,Very Good,H,VS1,61.6,58.1,5.54,5.58,3.42,7.59,3,2,4
1.02,Fair,I,SI2,65.5,57.0,6.19,6.24,4.07,8.243,0,1,0
0.52,Ideal,H,VVS1,61.2,57.0,5.17,5.22,3.18,7.501,4,2,6
1.01,Good,G,VVS2,62.4,59.0,6.32,6.37,3.96,8.9,2,3,5
1.59,Premium,H,SI1,61.0,58.0,7.58,7.51,4.6,9.086,1,2,2
0.6,Ideal,G,VVS2,62.0,57.0,5.41,5.46,3.37,7.761,4,3,5
0.26,Ideal,E,VS1,61.8,55.0,4.09,4.13,2.54,6.114,4,6,4
0.42,Ideal,I,VS1,62.0,55.0,4.83,4.85,3.0,6.65,4,1,4
0.8,Very Good,J,SI1,61.6,56.0,5.94,5.98,3.67,7.707,3,0,2
2.01,Fair,J,VS1,66.6,54.0,7.76,7.92,5.22,9.575,0,0,4
1.76,Very Good,J,SI2,60.9,60.0,7.79,7.83,4.76,9.111,3,0,0
1.63,Good,F,SI1,57.7,60.0,7.71,7.79,4.47,9.297,2,4,2
1.24,Ideal,J,SI2,60.1,57.0,7.02,6.98,4.21,8.473,4,0,0
0.58,Ideal,G,SI2,61.5,55.0,5.38,5.42,3.32,7.151,4,3,0
0.74,Ideal,G,SI1,61.3,57.0,5.81,5.83,3.57,8.049,4,3,2
0.36,Ideal,H,VS2,61.4,57.0,4.59,4.63,2.83,6.375,4,2,3
0.3,Very Good,F,VS2,62.9,57.0,4.29,4.33,2.71,6.405,3,4,3
0.71,Very Good,E,SI1,63.1,58.0,5.65,5.69,3.58,7.828,3,6,2
1.34,Premium,G,VS2,60.7,59.0,7.07,7.04,4.28,9.137,1,3,3
1.01,Premium,E,SI2,61.5,58.0,6.4,6.43,3.95,8.448,1,6,0
0.41,Ideal,G,VS2,62.7,56.0,4.76,4.71,2.97,6.967,4,3,3
0.9,Very Good,D,SI1,62.8,59.0,6.12,6.18,3.86,8.404,3,5,2
0.31,Ideal,G,VVS1,60.8,56.0,4.41,4.43,2.69,6.649,4,3,6
0.37,Premium,F,SI2,60.2,60.0,4.7,4.6,2.8,6.436,1,4,0
2.01,Ideal,J,SI1,62.3,57.0,8.05,7.99,5.0,9.442,4,0,2
0.71,Premium,D,VS2,61.2,59.0,5.74,5.69,3.5,7.946,1,5,3
1.52,Fair,H,SI1,64.6,55.0,7.24,7.19,4.66,8.914,0,2,2
2.22,Premium,F,SI2,59.2,59.0,8.54,8.46,5.03,9.514,1,4,0
0.47,Very Good,F,SI1,61.1,61.0,4.97,5.01,3.05,6.929,3,4,2
1.0,Fair,E,SI1,66.3,62.0,6.27,6.06,4.09,8.328,0,6,2
2.25,Premium,I,SI2,61.9,59.0,8.42,8.35,5.19,9.316,1,1,0
0.55,Ideal,J,SI1,60.9,57.0,5.24,5.3,3.21,7.003,4,0,2
0.38,Ideal,G,VVS2,62.3,53.6,4.65,4.67,2.9,6.834,4,3,5
1.51,Good,G,VS2,64.2,54.0,7.18,7.27,4.64,9.362,2,3,3
1.21,Ideal,I,VS1,60.5,58.0,6.95,6.89,4.19,8.747,4,1,4
1.0,Good,E,VVS1,63.4,59.0,6.27,6.24,4.0,9.031,2,6,6
0.33,Premium,E,SI1,60.4,59.0,4.47,4.43,2.69,6.611,1,6,2
1.39,Premium,G,SI1,61.3,59.0,7.15,7.24,4.41,8.968,1,3,2
1.5,Very Good,H,SI2,62.0,63.0,7.28,7.24,4.5,8.894,3,2,0
0.53,Ideal,G,VS1,61.5,57.0,5.21,5.23,3.21,7.491,4,3,4
0.3,Premium,E,SI1,62.3,58.0,4.32,4.29,2.68,6.515,1,6,2
0.3,Premium,I,VVS2,61.0,60.0,4.3,4.36,2.64,6.265,1,1,5
0.51,Ideal,E,VS1,61.8,55.0,5.15,31.8,5.12,7.638,4,6,4
0.6,Ideal,E,VS2,61.2,56.0,5.45,5.44,3.33,7.691,4,6,3
0.5,Premium,H,SI2,61.0,58.0,5.14,5.05,3.11,6.865,1,2,0
0.61,Ideal,G,VS1,62.1,56.0,5.42,5.44,3.37,7.681,4,3,4
