carat,depth,table,x,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
1.29,62.8,58.0,6.89,8.727,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.71,62.0,55.0,5.71,8.087,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.32,62.3,57.0,4.38,6.23,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.52,61.6,56.0,5.18,7.451,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.42,59.3,59.0,4.9,7.072,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.06,61.7,62.0,6.54,8.445,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.58,62.3,53.0,5.38,7.365,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.5,56.7,63.0,7.52,8.976,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.3,62.0,55.0,4.33,6.76,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1.0,65.3,56.0,6.28,8.671,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.51,61.4,56.0,5.15,7.911,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.2,58.2,59.0,7.04,8.961,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.41,62.3,55.0,4.78,7.266,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.42,61.6,57.0,4.84,7.074,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.12,61.9,58.0,6.74,8.456,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.22,62.1,59.0,6.86,8.606,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.5,60.9,61.0,5.06,7.033,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.31,62.4,55.0,4.34,6.385,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.56,61.5,57.0,5.33,7.633,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.32,61.9,54.0,4.42,6.04,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.72,61.7,56.0,5.77,7.525,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.08,63.4,57.0,6.54,8.573,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.31,63.1,57.0,4.3,6.347,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.33,61.9,55.0,4.44,6.852,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.7,62.0,56.0,5.71,7.631,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2.53,61.1,57.0,8.82,9.626,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.0,64.9,56.0,6.24,8.361,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.37,61.3,56.0,4.64,7.025,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3,61.4,56.0,4.33,6.797,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1.7,61.9,59.0,7.59,9.09,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.32,63.0,55.0,4.39,6.356,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.54,62.7,60.0,5.14,7.866,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.34,60.6,57.0,4.52,6.579,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.22,61.9,55.0,6.82,8.971,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.7,61.2,56.0,5.68,8.179,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.22,61.8,59.0,6.86,8.837,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.61,59.0,60.0,7.68,9.412,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.71,62.5,58.0,5.69,8.115,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.32,62.4,58.0,4.42,5.961,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.54,61.5,55.0,5.24,7.483,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,62.5,56.0,6.38,8.094,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.3,61.8,60.0,4.32,6.654,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.0,63.4,55.0,6.3,8.302,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.38,62.7,55.0,4.61,7.268,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.42,62.1,56.0,4.8,6.931,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.74,61.7,56.0,5.84,7.93,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.7,61.9,57.0,5.66,7.71,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.61,59.8,62.0,5.48,7.261,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.21,62.0,56.0,6.84,8.384,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1.28,62.2,56.0,6.96,8.936,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.26,63.3,58.0,6.88,8.976,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.4,62.5,60.0,4.72,7.09,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.3,62.7,59.0,4.29,6.528,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.3,61.3,57.0,4.34,6.564,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.81,62.1,55.0,5.94,8.039,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.32,62.7,55.0,4.36,6.554,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.51,62.4,57.0,5.1,7.432,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.76,61.7,56.0,5.84,8.384,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.44,61.0,60.0,4.93,6.898,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.72,61.4,56.0,5.8,8.195,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.03,62.8,56.0,6.46,8.469,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.6,61.8,60.0,5.38,7.406,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.7,63.0,59.0,5.64,7.73,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.1,61.4,60.0,6.59,9.133,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,61.3,55.0,4.36,6.594,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.78,63.9,64.0,5.82,7.777,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.13,59.3,59.0,6.87,9.09,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.56,62.3,57.0,5.24,7.364,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.77,62.6,55.0,5.9,7.834,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.51,62.9,55.0,5.12,7.072,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2.09,57.2,64.0,8.51,9.357,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.36,62.8,57.0,4.55,6.959,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.26,61.1,57.0,7.0,9.568,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.33,61.7,59.0,4.45,6.918,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.51,63.5,55.0,5.07,6.974,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.31,62.9,59.0,4.32,6.687,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.71,60.7,60.0,5.73,7.726,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.35,61.1,59.0,4.56,6.669,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.31,61.4,57.0,4.37,6.649,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,61.6,60.0,4.3,6.41,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.54,61.8,56.0,5.25,7.621,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.38,61.4,55.0,4.66,6.515,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.08,61.0,58.0,6.64,9.231,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.28,61.7,55.0,6.97,9.078,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.08,61.8,56.0,6.58,8.585,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.5,62.8,59.0,7.29,9.131,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.39,61.4,59.0,4.69,6.962,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.01,62.6,58.0,6.34,8.382,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.9,62.2,58.0,6.18,8.436,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.84,59.7,58.0,8.01,9.54,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.79,59.1,57.0,6.08,7.696,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.61,60.9,62.0,7.46,9.287,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.12,60.9,57.0,6.79,9.119,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.31,61.2,56.0,4.4,6.574,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.31,61.0,56.0,4.35,6.465,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.22,62.9,58.0,6.8,8.639,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.7,62.9,61.0,5.6,7.86,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.07,61.8,59.0,6.57,8.443,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.33,61.5,56.0,4.45,6.55,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.4,60.7,60.0,4.78,7.188,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5,63.3,57.0,5.01,7.27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.5,58.5,64.0,5.2,6.865,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.56,61.4,57.0,5.3,7.154,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.41,59.7,57.0,4.87,7.071,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.03,58.4,60.0,6.6,8.098,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.54,62.6,55.0,5.22,7.508,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.3,61.1,56.0,4.33,6.654,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.9,62.9,58.0,6.11,8.236,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.61,61.1,57.0,5.46,7.245,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.26,62.2,57.0,6.86,8.655,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.22,58.9,59.0,7.02,8.893,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.4,59.3,59.0,4.77,6.816,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.34,61.3,55.0,4.49,6.118,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,60.4,58.0,6.51,8.514,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.58,61.0,57.0,7.55,9.515,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2.01,59.9,60.0,8.27,9.748,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.32,61.0,56.0,4.42,6.631,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,60.8,62.0,8.09,9.476,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1.27,61.8,57.0,6.94,9.379,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.5,63.4,58.0,7.2,9.302,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.5,60.9,57.0,5.16,7.093,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.51,61.1,59.0,7.4,9.029,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.62,62.2,55.0,5.51,7.508,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.68,59.2,57.0,7.83,8.943,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.52,61.6,54.0,5.21,7.451,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.01,63.4,59.0,6.38,8.518,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.28,61.4,57.0,6.96,8.681,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.5,61.7,55.0,5.11,7.394,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.66,60.5,59.0,5.67,7.701,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.01,62.7,56.0,6.37,8.726,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.31,62.0,57.0,4.34,6.299,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.31,60.2,57.0,4.38,7.052,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.58,61.6,57.0,5.33,7.911,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.4,63.1,58.0,4.69,6.782,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.9,62.1,56.0,6.15,8.62,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.5,62.1,60.0,7.32,9.079,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.17,61.7,59.0,6.72,9.204,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.5,61.2,63.0,7.28,9.705,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9,61.8,60.0,6.14,8.307,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.72,61.3,65.0,5.76,8.054,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.71,60.4,57.0,5.77,8.05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.56,62.4,57.0,7.39,8.963,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.71,63.1,54.0,5.64,7.853,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.52,61.1,58.0,5.19,7.656,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.71,64.1,58.0,5.61,7.597,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1.11,61.9,57.0,6.62,8.457,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.27,62.3,56.0,6.93,8.646,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.24,63.1,55.0,3.95,6.163,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.05,63.0,59.0,6.44,8.333,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.01,62.5,60.0,6.34,8.354,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.7,61.8,55.0,5.71,7.706,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.42,60.9,59.0,4.81,6.865,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.34,61.1,56.0,4.51,6.621,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.11,61.2,55.0,6.72,8.586,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.65,61.5,58.0,7.49,8.98,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.81,63.6,57.0,5.87,8.04,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.81,61.7,55.1,5.97,8.325,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.47,66.7,59.0,6.98,8.497,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2.08,61.2,58.0,8.24,9.637,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.55,62.6,56.0,7.41,9.131,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.32,61.3,54.0,4.42,6.658,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.55,62.0,55.0,5.28,7.447,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3,61.6,62.0,4.3,6.227,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.56,59.6,58.0,7.55,8.912,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.7,61.0,61.0,5.69,7.99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.3,61.5,58.0,4.28,6.461,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.33,60.0,58.0,4.49,6.611,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.72,61.7,58.0,5.79,7.662,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.7,59.3,62.0,5.8,7.822,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.04,62.3,59.0,6.39,9.011,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.34,63.2,55.0,4.46,6.286,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.02,62.0,60.0,6.37,8.476,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.31,63.4,57.0,4.31,6.299,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.12,61.6,55.0,6.69,8.773,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,61.9,58.0,6.3,8.508,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.33,62.1,56.0,4.4,6.501,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.55,62.1,56.0,5.28,7.186,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.2,61.3,58.0,6.85,8.799,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.51,61.6,59.0,7.32,9.282,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.54,61.2,58.0,5.21,7.442,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.32,61.3,58.0,4.39,6.474,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.33,61.4,59.0,4.49,6.75,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.54,62.1,56.0,5.19,7.593,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.3,61.7,55.0,4.31,6.849,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.31,60.9,60.0,4.38,6.142,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.41,58.0,61.0,4.86,6.792,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.72,62.2,58.0,5.72,7.807,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.43,61.5,56.0,4.86,7.169,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.9,61.1,56.0,6.23,8.267,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.3,66.6,54.0,4.14,6.373,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.01,62.4,58.0,6.41,8.717,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.5,62.1,60.0,7.34,8.868,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.56,61.1,57.0,5.38,7.53,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.33,62.4,54.0,4.41,6.41,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.5,63.1,57.0,5.04,7.447,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.2,62.9,59.0,6.75,8.695,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.7,62.2,55.0,5.62,7.672,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.38,62.4,54.0,4.68,6.906,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.43,61.5,56.0,4.87,6.97,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.42,62.1,55.0,4.79,7.19,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.31,61.8,56.0,4.36,6.771,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.04,62.3,58.0,6.44,8.338,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.26,61.5,59.0,6.92,9.056,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.3,62.2,55.0,4.29,6.314,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.56,61.5,58.0,7.47,9.406,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.43,61.0,57.0,4.87,6.875,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.5,59.6,61.0,5.12,7.102,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.27,62.9,55.0,4.13,6.339,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.78,62.2,56.0,5.85,8.207,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.53,63.2,56.0,5.14,7.482,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.06,62.1,58.0,6.49,8.515,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.4,63.1,59.0,4.68,6.844,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.59,63.4,56.0,5.36,7.227,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
