carat,cut,color,clarity,depth,table,x,y,z,cut_encoded,color_encoded,clarity_encoded
0.3,Very Good,H,VVS2,61.5,57.0,4.32,4.36,2.66,3,2,5
0.76,Ideal,H,VS2,62.0,56.0,5.86,5.88,3.64,4,2,3
0.3,Ideal,E,VVS1,61.4,56.0,4.37,4.33,2.67,4,6,6
0.5,Very Good,G,VVS2,60.7,57.0,5.1,5.14,3.11,3,3,5
2.02,Ideal,I,SI2,62.2,57.0,8.06,7.99,4.99,4,1,0
0.31,Ideal,G,VS1,61.0,55.0,4.39,4.43,2.69,4,3,4
0.42,Premium,D,SI2,60.0,61.0,4.89,4.85,2.92,1,5,0
1.1,Ideal,H,SI1,62.0,57.0,6.66,6.7,4.14,4,2,2
0.41,Ideal,F,SI1,62.9,56.0,4.73,4.71,2.97,4,4,2
1.02,Very Good,D,SI1,62.7,57.0,6.42,6.5,4.05,3,5,2
1.04,Premium,E,SI2,61.0,60.0,6.57,6.52,3.99,1,6,0
0.52,Ideal,G,SI1,62.2,54.0,5.16,5.19,3.22,4,3,2
1.07,Ideal,G,VS1,61.8,55.0,6.55,6.59,4.06,4,3,4
0.4,Ideal,E,VVS1,62.6,56.0,4.7,4.73,2.95,4,6,6
0.38,Very Good,E,VVS2,59.7,63.0,4.71,4.73,2.82,3,6,5
1.03,Ideal,F,VS1,62.1,55.0,6.47,6.5,4.03,4,4,4
0.3,Very Good,G,SI1,62.4,54.0,4.33,4.35,2.71,3,3,2
0.31,Premium,D,VS2,62.6,59.0,4.33,4.3,2.7,1,5,3
0.51,Premium,E,VS2,61.3,58.0,5.15,5.13,3.15,1,6,3
2.01,Ideal,H,SI2,62.3,57.0,8.1,8.04,5.03,4,2,0
1.21,Very Good,F,VS1,61.1,61.0,6.79,6.87,4.17,3,4,4
1.23,Ideal,G,VS2,62.4,57.0,6.88,6.83,4.28,4,3,3
1.01,Premium,H,SI1,61.2,58.0,6.43,6.47,3.95,1,2,2
0.31,Premium,F,VS2,61.7,58.0,4.34,4.38,2.69,1,4,3
0.4,Good,E,SI1,63.9,58.0,4.63,4.67,2.97,2,6,2
0.9,Ideal,G,VS2,62.0,57.0,6.19,6.22,3.85,4,3,3
1.23,Ideal,H,VVS2,61.3,55.0,6.9,6.94,4.24,4,2,5
1.19,Ideal,H,I1,60.3,57.0,6.93,6.83,4.15,4,2,1
0.3,Ideal,G,SI2,61.9,57.0,4.28,4.31,2.66,4,3,0
2.01,Good,E,SI2,60.0,64.0,8.09,8.17,4.88,2,6,0
0.3,Premium,G,VS1,61.9,59.0,4.28,4.32,2.66,1,3,4
0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,3,4,3
0.9,Very Good,H,VS1,61.8,56.0,6.16,6.18,3.81,3,2,4
1.05,Very Good,H,VS1,63.3,57.0,6.45,6.4,4.07,3,2,4
0.3,Very Good,D,VS1,63.2,59.0,4.26,4.29,2.7,3,5,4
1.26,Ideal,F,VS2,61.5,56.0,6.97,7.01,4.3,4,4,3
1.05,Premium,E,SI2,60.4,58.0,6.59,6.55,3.97,1,6,0
0.32,Ideal,E,VS2,60.8,55.0,4.49,4.42,2.71,4,6,3
0.38,Premium,D,VS2,58.8,61.0,4.74,4.71,2.78,1,5,3
1.71,Good,D,SI1,64.1,59.0,7.51,7.46,4.8,2,5,2
0.4,Ideal,D,VS1,62.2,57.0,4.71,4.74,2.94,4,5,4
0.27,Good,E,VVS1,63.9,57.0,4.1,4.07,2.61,2,6,6
0.31,Good,E,SI1,63.5,57.0,4.28,4.32,2.73,2,6,2
1.01,Very Good,H,VS1,64.0,54.0,6.3,6.38,4.06,3,2,4
0.9,Ideal,I,VS2,61.3,56.0,6.24,6.2,3.81,4,1,3
0.33,Ideal,G,IF,61.0,55.0,4.49,4.52,2.75,4,3,7
0.41,Ideal,I,VS1,61.9,55.0,4.79,4.81,2.97,4,1,4
0.3,Ideal,E,SI1,61.7,55.0,4.33,4.36,2.68,4,6,2
0.91,Very Good,G,SI2,60.3,59.0,6.23,6.28,3.77,3,3,0
1.01,Premium,H,VS1,61.6,57.0,6.47,6.38,3.96,1,2,4
0.55,Ideal,G,SI1,60.8,56.0,5.3,5.36,3.24,4,3,2
1.03,Ideal,G,VVS2,61.6,57.0,6.51,6.48,4.0,4,3,5
0.58,Ideal,G,VVS1,61.3,56.0,5.36,5.4,3.3,4,3,6
0.41,Ideal,G,VS2,62.5,54.0,4.75,4.78,2.98,4,3,3
