carat,depth,table,x,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
1.0,60.4,64.0,6.3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.34,60.8,56.0,4.56,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1.11,61.3,60.0,6.68,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.04,61.8,60.0,6.51,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.3,61.3,61.0,4.27,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2.08,60.1,59.0,8.29,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,64.7,56.0,6.23,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.58,60.0,53.0,7.59,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.7,63.2,61.0,5.62,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.66,61.5,57.0,7.59,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2.03,61.3,59.0,8.11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.51,58.8,58.0,7.53,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9,62.0,57.0,6.22,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.54,61.0,58.0,5.27,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.91,62.2,58.0,6.21,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.5,60.3,60.0,5.1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.3,62.9,57.0,4.27,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.34,61.7,61.0,4.47,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2.15,63.4,56.0,8.2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.23,62.2,55.0,6.85,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.04,59.6,59.0,6.56,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.51,62.2,56.0,5.1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.4,62.9,55.0,4.71,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.52,59.8,59.0,5.21,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.7,61.7,61.0,5.67,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.42,60.9,59.0,4.85,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.32,61.9,54.0,4.41,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.2,63.8,60.0,6.6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.51,60.6,60.0,7.42,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.32,61.5,55.0,4.43,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.43,61.2,58.0,4.88,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.6,62.1,55.0,5.42,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.01,62.2,56.0,6.42,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.31,61.8,56.0,4.39,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.7,63.7,60.0,5.57,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.78,60.4,57.0,6.02,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.54,62.2,55.0,5.24,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.5,62.9,58.0,7.21,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.8,58.2,63.0,6.07,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.7,64.2,58.0,5.58,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.75,62.5,57.0,5.78,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.5,61.3,58.0,7.36,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.43,63.7,57.0,4.79,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.35,61.4,59.0,4.53,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.74,61.6,54.0,5.82,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.32,61.6,55.0,4.42,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.33,60.6,57.0,4.49,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.32,61.3,56.0,4.44,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.51,61.4,60.0,7.37,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.41,61.2,57.0,4.78,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.7,62.1,60.0,5.65,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.77,61.4,56.0,5.9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.3,62.2,54.0,4.29,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.01,63.2,58.0,6.43,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.43,63.4,57.0,4.76,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.12,62.5,57.0,6.63,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.32,63.0,57.0,4.37,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.5,60.1,57.0,5.14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.5,58.0,63.0,5.22,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.76,61.2,57.0,5.85,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.03,63.6,57.0,6.38,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.29,61.5,57.0,4.24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.0,62.1,58.0,6.44,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.43,61.8,56.0,4.86,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.32,61.9,59.0,4.38,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1.11,62.9,55.0,6.56,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.7,61.2,56.0,5.71,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.34,62.2,55.0,4.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.84,61.7,56.0,6.03,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.42,62.1,59.0,4.82,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.3,62.1,59.0,4.31,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.02,62.0,59.0,6.39,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.3,61.3,56.0,4.32,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.35,61.9,58.0,4.54,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.5,63.1,57.0,7.31,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.2,62.3,60.0,6.74,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.94,60.1,59.0,6.35,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.16,62.6,58.0,6.72,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.85,60.1,56.0,6.17,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.32,62.0,54.0,4.39,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.34,60.8,59.0,4.56,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.57,61.0,57.0,5.33,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.3,61.1,58.0,6.98,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2.01,60.5,60.0,8.17,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.32,59.7,62.0,4.38,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.54,62.0,56.0,5.21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.31,62.7,58.0,4.32,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.24,61.8,55.0,6.85,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.73,59.2,58.0,5.9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.31,60.5,60.0,4.4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.93,61.9,56.0,6.24,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.52,61.5,58.0,5.18,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3,62.9,60.0,4.26,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.72,61.4,59.0,5.71,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.03,61.6,59.0,6.46,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.14,62.2,58.0,6.7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.54,61.0,54.0,5.28,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.3,62.2,57.0,4.26,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.39,62.6,57.0,7.1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1.01,62.5,58.0,6.32,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.06,62.8,56.0,6.47,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.01,62.7,59.0,6.35,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.3,62.6,54.0,4.28,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.72,61.0,57.0,5.77,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.25,59.8,59.0,4.07,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.42,63.6,57.0,4.79,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.51,62.6,60.0,7.19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.7,59.6,61.0,5.8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.51,60.1,56.0,5.16,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.71,62.1,56.0,5.72,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.51,61.3,56.0,5.17,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.41,64.7,58.0,7.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.6,61.9,58.0,5.39,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.25,61.1,57.0,6.91,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.38,60.2,58.0,4.71,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.33,63.4,55.0,4.4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.01,63.3,58.0,6.35,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2.01,62.8,58.0,8.01,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.53,62.5,55.0,5.14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.41,62.3,56.0,4.74,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.51,60.1,56.0,5.22,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.3,61.8,55.0,4.36,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.01,63.9,58.0,6.39,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.71,61.5,57.0,5.7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.61,62.9,58.0,5.33,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.71,58.2,60.0,5.91,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.7,59.7,56.9,5.73,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.32,63.1,56.0,4.37,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.51,62.6,53.0,7.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.32,61.2,56.0,4.43,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.33,61.9,55.0,4.45,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.98,57.9,56.0,6.51,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.25,57.5,61.0,4.16,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.72,61.8,56.0,5.72,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.32,61.9,55.0,4.37,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.51,61.0,56.0,5.2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.33,61.3,56.0,4.46,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.01,63.9,58.0,6.31,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.77,64.3,57.9,5.7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.31,63.1,55.0,4.33,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9,60.6,57.0,6.28,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.55,61.0,56.0,5.34,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.12,62.8,54.0,6.7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.01,62.9,58.0,6.39,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,59.3,63.0,6.44,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.06,62.1,58.0,6.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.4,62.3,55.0,4.74,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.24,61.7,56.0,3.98,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.31,62.5,60.0,4.36,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.56,62.1,55.6,5.29,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.5,65.3,56.0,4.91,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.11,62.0,56.0,6.61,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.32,61.7,56.0,4.37,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.62,59.9,65.0,5.58,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.51,59.2,58.0,5.27,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.32,62.5,57.0,7.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.52,61.5,56.0,5.19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.37,59.3,58.0,4.73,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.03,62.9,56.0,6.49,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.25,63.0,59.0,3.97,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.31,63.1,58.0,4.27,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.3,62.2,57.0,4.26,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.0,64.9,52.0,6.24,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.71,62.3,57.0,5.7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.9,62.5,58.0,6.1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2.21,61.9,55.0,8.4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.5,63.3,57.0,7.28,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.91,62.1,57.0,6.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.23,62.5,58.0,3.92,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.53,61.5,56.0,5.17,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,60.9,59.0,6.38,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.01,60.4,60.0,6.47,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.33,62.1,54.0,4.42,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.31,63.7,58.0,4.27,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.46,62.5,57.0,7.15,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.07,62.2,59.0,6.47,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.42,62.1,54.0,4.81,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.72,62.7,58.0,5.65,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.3,61.3,58.0,4.3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.31,59.6,58.0,4.44,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.32,62.4,58.0,6.97,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1.1,63.1,57.0,6.6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.53,60.9,63.0,7.37,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.0,60.1,62.0,6.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.4,63.9,58.0,4.67,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9,63.2,58.0,6.05,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.5,63.1,56.0,5.05,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.35,60.9,57.0,4.58,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.52,61.8,56.0,5.2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.7,61.2,64.0,5.68,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.27,62.5,59.0,4.11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.32,62.6,60.0,4.36,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.5,61.4,54.0,5.13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.72,62.3,54.0,5.74,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.51,63.7,54.0,5.1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.34,62.4,54.0,4.49,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.03,60.7,57.0,6.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.33,61.7,54.0,4.45,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.7,61.9,56.0,5.68,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.31,60.8,60.0,4.37,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2.06,59.3,61.0,8.44,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.2,61.8,56.0,6.85,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.01,57.7,63.0,6.55,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.32,59.5,57.0,4.45,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.5,60.8,58.0,7.24,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.11,61.1,60.0,6.68,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.2,62.2,58.0,6.8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.24,62.2,57.0,3.97,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.54,60.8,58.0,7.44,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.55,61.3,61.0,7.46,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2.06,60.7,58.0,8.18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.32,62.8,57.0,4.36,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.52,61.5,56.0,5.17,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.54,61.2,56.0,5.27,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.71,63.1,59.0,5.62,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.52,62.4,55.0,7.35,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
