carat,depth,table,x,y,z,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
0.51,61.4,56.0,5.15,5.17,3.17,7.911,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.2,58.2,59.0,7.04,6.95,4.07,8.961,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.41,62.3,55.0,4.78,4.75,2.97,7.266,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.42,61.6,57.0,4.84,4.8,2.97,7.074,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.12,61.9,58.0,6.74,6.66,4.15,8.456,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.22,62.1,59.0,6.86,6.8,4.24,8.606,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.5,60.9,61.0,5.06,5.15,3.11,7.033,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.31,62.4,55.0,4.34,4.31,2.7,6.385,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.56,61.5,57.0,5.33,5.28,3.26,7.633,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.32,61.9,54.0,4.42,4.46,2.75,6.04,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.72,61.7,56.0,5.77,5.81,3.57,7.525,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.08,63.4,57.0,6.54,6.51,4.14,8.573,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.31,63.1,57.0,4.3,4.32,2.72,6.347,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.33,61.9,55.0,4.44,4.45,2.75,6.852,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.7,62.0,56.0,5.71,5.74,3.55,7.631,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2.53,61.1,57.0,8.82,8.76,5.37,9.626,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.0,64.9,56.0,6.24,6.31,4.07,8.361,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.37,61.3,56.0,4.64,4.6,2.83,7.025,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3,61.4,56.0,4.33,4.37,2.67,6.797,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1.7,61.9,59.0,7.59,7.64,4.71,9.09,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.32,63.0,55.0,4.39,4.34,2.75,6.356,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.54,62.7,60.0,5.14,5.1,3.21,7.866,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.34,60.6,57.0,4.52,4.57,2.75,6.579,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.22,61.9,55.0,6.82,6.87,4.24,8.971,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.7,61.2,56.0,5.68,5.75,3.5,8.179,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.22,61.8,59.0,6.86,6.83,4.23,8.837,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.61,59.0,60.0,7.68,7.6,4.51,9.412,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.71,62.5,58.0,5.69,5.73,3.57,8.115,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.32,62.4,58.0,4.42,4.46,2.77,5.961,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.54,61.5,55.0,5.24,5.26,3.23,7.483,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,62.5,56.0,6.38,6.35,3.98,8.094,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.3,61.8,60.0,4.32,4.29,2.66,6.654,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.0,63.4,55.0,6.3,6.38,4.02,8.302,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.38,62.7,55.0,4.61,4.67,2.91,7.268,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.42,62.1,56.0,4.8,4.77,2.97,6.931,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.74,61.7,56.0,5.84,5.8,3.59,7.93,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.7,61.9,57.0,5.66,5.75,3.53,7.71,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.61,59.8,62.0,5.48,5.53,3.29,7.261,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.21,62.0,56.0,6.84,6.8,4.23,8.384,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1.28,62.2,56.0,6.96,6.9,4.31,8.936,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.26,63.3,58.0,6.88,6.84,4.34,8.976,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.4,62.5,60.0,4.72,4.66,2.93,7.09,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.3,62.7,59.0,4.29,4.32,2.7,6.528,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.3,61.3,57.0,4.34,4.31,2.65,6.564,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.81,62.1,55.0,5.94,5.98,3.7,8.039,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.32,62.7,55.0,4.36,4.38,2.74,6.554,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.51,62.4,57.0,5.1,5.13,3.19,7.432,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.76,61.7,56.0,5.84,5.87,3.61,8.384,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.44,61.0,60.0,4.93,4.88,2.99,6.898,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.72,61.4,56.0,5.8,5.82,3.57,8.195,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.03,62.8,56.0,6.46,6.43,4.05,8.469,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.6,61.8,60.0,5.38,5.37,3.32,7.406,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.7,63.0,59.0,5.64,5.67,3.56,7.73,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.1,61.4,60.0,6.59,6.67,4.07,9.133,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,61.3,55.0,4.36,4.32,2.66,6.594,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.78,63.9,64.0,5.82,5.7,3.68,7.777,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.13,59.3,59.0,6.87,6.79,4.05,9.09,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.56,62.3,57.0,5.24,5.26,3.27,7.364,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.77,62.6,55.0,5.9,5.85,3.68,7.834,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.51,62.9,55.0,5.12,5.08,3.21,7.072,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2.09,57.2,64.0,8.51,8.46,4.85,9.357,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.36,62.8,57.0,4.55,4.52,2.85,6.959,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.26,61.1,57.0,7.0,6.98,4.27,9.568,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.33,61.7,59.0,4.45,4.43,2.74,6.918,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.51,63.5,55.0,5.07,5.11,3.23,6.974,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.31,62.9,59.0,4.32,4.27,2.7,6.687,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.71,60.7,60.0,5.73,5.76,3.49,7.726,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.35,61.1,59.0,4.56,4.5,2.77,6.669,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.31,61.4,57.0,4.37,4.39,2.68,6.649,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,61.6,60.0,4.3,4.27,2.64,6.41,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.54,61.8,56.0,5.25,5.23,3.24,7.621,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.38,61.4,55.0,4.66,4.69,2.87,6.515,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.08,61.0,58.0,6.64,6.61,4.04,9.231,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.28,61.7,55.0,6.97,7.01,4.31,9.078,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.08,61.8,56.0,6.58,6.55,4.06,8.585,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.5,62.8,59.0,7.29,7.19,4.55,9.131,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.39,61.4,59.0,4.69,4.73,2.89,6.962,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.01,62.6,58.0,6.34,6.44,4.0,8.382,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.9,62.2,58.0,6.18,6.11,3.82,8.436,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.84,59.7,58.0,8.01,7.98,4.77,9.54,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.79,59.1,57.0,6.08,6.06,3.59,7.696,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.61,60.9,62.0,7.46,7.57,4.58,9.287,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.12,60.9,57.0,6.79,6.68,4.1,9.119,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.31,61.2,56.0,4.4,4.43,2.7,6.574,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.31,61.0,56.0,4.35,4.4,2.67,6.465,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.22,62.9,58.0,6.8,6.75,4.26,8.639,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.7,62.9,61.0,5.6,5.63,3.53,7.86,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.07,61.8,59.0,6.57,6.53,4.05,8.443,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.33,61.5,56.0,4.45,4.48,2.74,6.55,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.4,60.7,60.0,4.78,4.74,2.89,7.188,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5,63.3,57.0,5.01,5.07,3.19,7.27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.5,58.5,64.0,5.2,5.12,3.02,6.865,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.56,61.4,57.0,5.3,5.33,3.26,7.154,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.41,59.7,57.0,4.87,4.84,2.9,7.071,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.03,58.4,60.0,6.6,6.58,3.85,8.098,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.54,62.6,55.0,5.22,5.2,3.26,7.508,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.3,61.1,56.0,4.33,4.31,2.64,6.654,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.9,62.9,58.0,6.11,6.02,3.82,8.236,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.61,61.1,57.0,5.46,5.49,3.34,7.245,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.26,62.2,57.0,6.86,6.9,4.28,8.655,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.22,58.9,59.0,7.02,6.96,4.12,8.893,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.4,59.3,59.0,4.77,4.81,2.84,6.816,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.34,61.3,55.0,4.49,4.52,2.76,6.118,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,60.4,58.0,6.51,6.46,3.92,8.514,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.58,61.0,57.0,7.55,7.5,4.59,9.515,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2.01,59.9,60.0,8.27,8.2,4.93,9.748,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.32,61.0,56.0,4.42,4.46,2.71,6.631,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,60.8,62.0,8.09,8.12,4.93,9.476,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1.27,61.8,57.0,6.94,6.98,4.3,9.379,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.5,63.4,58.0,7.2,7.16,4.55,9.302,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.5,60.9,57.0,5.16,5.13,3.13,7.093,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.51,61.1,59.0,7.4,7.37,4.51,9.029,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.62,62.2,55.0,5.51,5.46,3.41,7.508,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.68,59.2,57.0,7.83,7.72,4.6,8.943,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.52,61.6,54.0,5.21,5.24,3.22,7.451,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.01,63.4,59.0,6.38,6.34,4.03,8.518,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.28,61.4,57.0,6.96,6.99,4.28,8.681,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.5,61.7,55.0,5.11,5.14,3.16,7.394,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.66,60.5,59.0,5.67,5.72,3.44,7.701,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.01,62.7,56.0,6.37,6.43,4.01,8.726,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.31,62.0,57.0,4.34,4.37,2.7,6.299,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.31,60.2,57.0,4.38,4.44,2.65,7.052,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.58,61.6,57.0,5.33,5.38,3.3,7.911,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.4,63.1,58.0,4.69,4.66,2.95,6.782,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.9,62.1,56.0,6.15,6.19,3.83,8.62,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.5,62.1,60.0,7.32,7.27,4.53,9.079,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.17,61.7,59.0,6.72,6.77,4.16,9.204,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.5,61.2,63.0,7.28,7.32,4.47,9.705,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9,61.8,60.0,6.14,6.2,3.81,8.307,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.72,61.3,65.0,5.76,5.72,3.52,8.054,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.71,60.4,57.0,5.77,5.82,3.5,8.05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.56,62.4,57.0,7.39,7.46,4.63,8.963,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.71,63.1,54.0,5.64,5.7,3.58,7.853,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.52,61.1,58.0,5.19,5.22,3.18,7.656,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.71,64.1,58.0,5.61,5.65,3.61,7.597,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1.11,61.9,57.0,6.62,6.67,4.11,8.457,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.27,62.3,56.0,6.93,6.85,4.29,8.646,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.24,63.1,55.0,3.95,4.01,2.51,6.163,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.05,63.0,59.0,6.44,6.48,4.07,8.333,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.01,62.5,60.0,6.34,6.39,3.98,8.354,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.7,61.8,55.0,5.71,5.68,3.52,7.706,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.42,60.9,59.0,4.81,4.85,2.94,6.865,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.34,61.1,56.0,4.51,4.56,2.77,6.621,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.11,61.2,55.0,6.72,6.68,4.1,8.586,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.65,61.5,58.0,7.49,7.62,4.65,8.98,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.81,63.6,57.0,5.87,5.9,3.74,8.04,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.81,61.7,55.1,5.97,6.04,3.71,8.325,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.47,66.7,59.0,6.98,6.94,4.64,8.497,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2.08,61.2,58.0,8.24,8.16,5.02,9.637,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.55,62.6,56.0,7.41,7.35,4.62,9.131,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.32,61.3,54.0,4.42,4.45,2.72,6.658,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.55,62.0,55.0,5.28,5.24,3.26,7.447,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3,61.6,62.0,4.3,4.27,2.64,6.227,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.56,59.6,58.0,7.55,7.59,4.51,8.912,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.7,61.0,61.0,5.69,5.72,3.48,7.99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.3,61.5,58.0,4.28,4.31,2.64,6.461,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.33,60.0,58.0,4.49,4.47,2.69,6.611,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.72,61.7,58.0,5.79,5.74,3.56,7.662,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.7,59.3,62.0,5.8,5.74,3.42,7.822,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.04,62.3,59.0,6.39,6.48,4.01,9.011,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.34,63.2,55.0,4.46,4.5,2.83,6.286,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.02,62.0,60.0,6.37,6.4,3.96,8.476,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.31,63.4,57.0,4.31,4.33,2.74,6.299,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.12,61.6,55.0,6.69,6.66,4.11,8.773,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,61.9,58.0,6.3,6.37,3.92,8.508,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.33,62.1,56.0,4.4,4.42,2.74,6.501,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.55,62.1,56.0,5.28,5.22,3.26,7.186,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.2,61.3,58.0,6.85,6.81,4.19,8.799,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.51,61.6,59.0,7.32,7.3,4.5,9.282,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.54,61.2,58.0,5.21,5.28,3.21,7.442,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.32,61.3,58.0,4.39,4.35,2.68,6.474,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.33,61.4,59.0,4.49,4.43,2.74,6.75,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.54,62.1,56.0,5.19,5.22,3.23,7.593,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.3,61.7,55.0,4.31,4.34,2.67,6.849,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.31,60.9,60.0,4.38,4.36,2.66,6.142,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.41,58.0,61.0,4.86,4.9,2.83,6.792,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
